match_name,actual_score,portfolio_name,portfolio_style,pre_match_rank,profit,roi,failure_pattern,favorite_margin,handicap_depth,actual_score_covered,underdog_goal_tail_included,draw_path_included,qualification_pressure_type,recommended_fix
德国 vs 科特迪瓦,2:1,第8组合,System,8,-1800.0,-1.0,low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
德国 vs 科特迪瓦,2:1,第9组合,System,9,-1800.0,-1.0,low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
德国 vs 科特迪瓦,2:1,第10组合,System,10,918.0,0.51,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
荷兰 vs 瑞典,5:1,推荐组合,Recommendation / Rank #1,1,72.0,0.72,profitable,three_plus_goal_win,0.0,True,False,False,,No tuning action from this row alone.
荷兰 vs 瑞典,5:1,第2组合,System,2,72.0,0.72,profitable,three_plus_goal_win,0.0,True,False,False,,No tuning action from this row alone.
荷兰 vs 瑞典,5:1,第3组合,System,3,72.0,0.72,profitable,three_plus_goal_win,0.0,True,False,False,,No tuning action from this row alone.
荷兰 vs 瑞典,5:1,第4组合,System,4,72.0,0.72,profitable,three_plus_goal_win,0.0,True,False,False,,No tuning action from this row alone.
荷兰 vs 瑞典,5:1,第5组合,System,5,72.0,0.72,profitable,three_plus_goal_win,0.0,True,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,推荐组合,Recommendation / Rank #1,1,593.75,1.9792,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,第2组合,System,2,210.0,0.7,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,第3组合,System,3,210.0,0.7,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,推荐组合,Recommendation / Rank #1,4,253.75,0.8458,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,第5组合,System,5,-300.0,-1.0,low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
苏格兰 vs 摩洛哥,0:1,第6组合,System,6,-130.0,-0.4333,market_direction_wrong,one_goal_win,0.0,False,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,第7组合,System,7,1361.25,4.5375,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,第8组合,System,8,807.5,2.6917,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,第9组合,System,9,253.75,0.8458,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,第10组合,System,10,253.75,0.8458,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
苏格兰 vs 摩洛哥,0:1,第11组合,System,11,197.84,0.6595,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
土耳其 vs 巴拉圭,0:1,推荐组合,Recommendation / Rank #1,1,-1500.0,-1.0,low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
土耳其 vs 巴拉圭,0:1,第2组合,System,2,-1500.0,-1.0,low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
土耳其 vs 巴拉圭,0:1,第3组合,System,3,-1500.0,-1.0,low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
土耳其 vs 巴拉圭,0:1,第4组合,System,4,-1500.0,-1.0,low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
土耳其 vs 巴拉圭,0:1,第5组合,System,5,2378.18,1.5855,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
土耳其 vs 巴拉圭,0:1,第6组合,System,6,2378.18,1.5855,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
土耳其 vs 巴拉圭,0:1,第7组合,System,7,-1500.0,-1.0,low_odds_false_safety;market_direction_wrong,one_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
土耳其 vs 巴拉圭,0:1,第8组合,System,8,13043.18,8.6955,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
土耳其 vs 巴拉圭,0:1,第9组合,System,9,6256.36,4.1709,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
土耳其 vs 巴拉圭,0:1,第10组合,System,10,1181.54,0.7877,profitable,one_goal_win,0.0,True,False,False,,No tuning action from this row alone.
土耳其 vs 巴拉圭,0:1,推荐组合,Recommendation / Rank #1,11,-351.69,-0.2345,market_direction_wrong,one_goal_win,0.0,False,False,False,,No tuning action from this row alone.
突尼斯 vs 日本,0:4,推荐组合,Recommendation / Rank #1,1,350.0,0.5,profitable,three_plus_goal_win,0.0,True,False,False,,No tuning action from this row alone.
突尼斯 vs 日本,0:4,第2组合,System,2,350.0,0.5,profitable,three_plus_goal_win,0.0,True,False,False,,No tuning action from this row alone.
突尼斯 vs 日本,0:4,第3组合,System,3,-100.0,-0.1429,market_direction_wrong,three_plus_goal_win,0.0,False,False,False,,No tuning action from this row alone.
突尼斯 vs 日本,0:4,第4组合,System,4,-700.0,-1.0,low_odds_false_safety,three_plus_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
突尼斯 vs 日本,0:4,第5组合,System,5,-700.0,-1.0,low_odds_false_safety,three_plus_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
突尼斯 vs 日本,0:4,第6组合,System,6,-250.0,-0.3571,market_direction_wrong,three_plus_goal_win,0.0,False,False,False,,No tuning action from this row alone.
突尼斯 vs 日本,0:4,第7组合,System,7,-400.0,-0.5714,market_direction_wrong,three_plus_goal_win,0.0,False,False,False,,No tuning action from this row alone.
突尼斯 vs 日本,0:4,第8组合,System,8,-700.0,-1.0,low_odds_false_safety,three_plus_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
突尼斯 vs 日本,0:4,第9组合,System,9,-700.0,-1.0,low_odds_false_safety,three_plus_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
突尼斯 vs 日本,0:4,第10组合,System,10,-700.0,-1.0,low_odds_false_safety,three_plus_goal_win,0.0,False,False,False,,Reduce false safety from low-odds single-path assets.
美国 vs 澳大利亚,2:0,推荐组合,Recommendation / Rank #1,1,60.0,0.6,profitable,two_goal_win,0.0,True,False,False,,No tuning action from this row alone.
美国 vs 澳大利亚,2:0,第2组合,System,2,60.0,0.6,profitable,two_goal_win,0.0,True,False,False,,No tuning action from this row alone.
美国 vs 澳大利亚,2:0,第3组合,System,3,60.0,0.6,profitable,two_goal_win,0.0,True,False,False,,No tuning action from this row alone.
美国 vs 澳大利亚,2:0,第4组合,System,4,60.0,0.6,profitable,two_goal_win,0.0,True,False,False,,No tuning action from this row alone.
美国 vs 澳大利亚,2:0,第5组合,System,5,60.0,0.6,profitable,two_goal_win,0.0,True,False,False,,No tuning action from this row alone.
波黑 vs 卡塔尔,3:1,推荐组合,Recommendation / Rank #1,1,1545.0,1.03,profitable,two_goal_win,1.5,True,False,False,,No tuning action from this row alone.
波黑 vs 卡塔尔,3:1,第2组合,System,2,1545.0,1.03,profitable,two_goal_win,1.5,True,False,False,,No tuning action from this row alone.
波黑 vs 卡塔尔,3:1,第6组合,System,6,1009.0,0.673,profitable,two_goal_win,1.5,True,False,False,,No tuning action from this row alone.
波黑 vs 卡塔尔,3:1,第5组合,System,5,540.0,0.36,profitable,two_goal_win,0.0,True,False,False,,No tuning action from this row alone.
波黑 vs 卡塔尔,3:1,第3组合,System,3,327.0,0.218,profitable,two_goal_win,1.5,True,False,False,,No tuning action from this row alone.
波黑 vs 卡塔尔,3:1,我的组合,My Portfolio,,-100.0,-0.111,correct_score_over_concentrated;underdog_goal_broke_clean_sheet,two_goal_win,0.0,,False,False,,Add or reweight underdog-goal adjacent score paths.
波黑 vs 卡塔尔,3:1,第7组合,System,7,-144.0,-0.096,correct_score_over_concentrated;underdog_goal_broke_clean_sheet,two_goal_win,1.5,False,False,False,,Add or reweight underdog-goal adjacent score paths.
波黑 vs 卡塔尔,3:1,第8组合,System,8,-276.0,-0.184,correct_score_over_concentrated;underdog_goal_broke_clean_sheet,two_goal_win,0.0,False,False,False,,Add or reweight underdog-goal adjacent score paths.
波黑 vs 卡塔尔,3:1,第4组合,System,4,-1500.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;underdog_goal_broke_clean_sheet,two_goal_win,0.0,False,False,False,,Add or reweight underdog-goal adjacent score paths.
波黑 vs 卡塔尔,3:1,第9组合,System,9,-1500.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;underdog_goal_broke_clean_sheet,two_goal_win,0.0,False,False,False,,Add or reweight underdog-goal adjacent score paths.
波黑 vs 卡塔尔,3:1,第10组合,System,10,-1500.0,-1.0,correct_score_over_concentrated;low_odds_false_safety;underdog_goal_broke_clean_sheet,two_goal_win,0.0,False,False,False,,Add or reweight underdog-goal adjacent score paths.
捷克 vs 墨西哥,0:3,我的组合,My Portfolio,,0.0,0.0,profitable,three_plus_goal_win,0.0,,False,False,,No tuning action from this row alone.
捷克 vs 墨西哥,0:3,推荐组合,Recommendation / Rank #1,1,-100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
捷克 vs 墨西哥,0:3,第2组合,System,2,-100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
捷克 vs 墨西哥,0:3,第3组合,System,3,-100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
捷克 vs 墨西哥,0:3,第4组合,System,4,-100.0,-1.0,correct_score_over_concentrated;low_odds_false_safety,three_plus_goal_win,0.0,False,True,False,,Limit clean-sheet correct-score concentration.
