match_id,match_name,kickoff,actual_score,portfolio_name,portfolio_style,pre_match_rank,pre_match_score,total_stake,net_profit,roi,hit_count,loss_count,push_count,best_score_path,actual_score_path,covered_actual_score,zero_risk_triggered,one_goal_deviation_failure,recommendation_rank_pre_match,actual_profit_rank_post_match,recomputed_with_current_model
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,第7组合,System,7,90,1800.0,-1800.0,-1.0,0,3,0,3:0,one_goal_win,False,True,True,7,8,True
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,第8组合,System,8,88,1800.0,-1800.0,-1.0,0,1,0,2:0,one_goal_win,False,True,True,8,9,True
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,第9组合,System,9,86,1800.0,-1800.0,-1.0,0,2,0,3:0,one_goal_win,False,True,True,9,10,True
2026_06_20_Germany_Ivory_Coast,德国 vs 科特迪瓦,06/20/2026 16:00,2:1,第10组合,System,10,80,1800.0,918.0,0.51,1,0,0,1:0,one_goal_win,True,False,False,10,1,True
2026_06_20_Netherlands_Sweden,荷兰 vs 瑞典,06/20/2026 12:00,5:1,推荐组合,System,1,80,100.0,72.0,0.72,1,0,0,1:0,three_plus_goal_win,True,False,False,1,1,True
2026_06_20_Netherlands_Sweden,荷兰 vs 瑞典,06/20/2026 12:00,5:1,第2组合,System,2,80,100.0,72.0,0.72,1,0,0,1:0,three_plus_goal_win,True,False,False,2,2,True
2026_06_20_Netherlands_Sweden,荷兰 vs 瑞典,06/20/2026 12:00,5:1,第3组合,System,3,80,100.0,72.0,0.72,1,0,0,1:0,three_plus_goal_win,True,False,False,3,3,True
2026_06_20_Netherlands_Sweden,荷兰 vs 瑞典,06/20/2026 12:00,5:1,第4组合,System,4,80,100.0,72.0,0.72,1,0,0,1:0,three_plus_goal_win,True,False,False,4,4,True
2026_06_20_Netherlands_Sweden,荷兰 vs 瑞典,06/20/2026 12:00,5:1,第5组合,System,5,80,100.0,72.0,0.72,1,0,0,1:0,three_plus_goal_win,True,False,False,5,5,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,推荐组合,System,1,93,300.0,593.75,1.9792,2,0,0,0:1,one_goal_win,True,False,False,1,3,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,第2组合,System,2,80,300.0,210.0,0.7,1,0,0,0:1,one_goal_win,True,False,False,2,7,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,第3组合,System,3,80,300.0,210.0,0.7,1,0,0,0:1,one_goal_win,True,False,False,3,8,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,推荐组合,System,4,60,300.0,253.75,0.8458,3,19,0,0:1,one_goal_win,True,False,False,4,4,True
2026_06_20_Scotland_Morocco,苏格兰 vs 摩洛哥,2026-06-19T22:00Z,0:1,第5组合,System,5,60,300.0,-300.0,-1.0,0,1,0,0:0,one_goal_win,False,True,True,5,11,True
